epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5582.35,0.53316,0.61868,1.05672,0.91185,0.89789,0.94498,0.81297,0.58115,0.4474,1.02218,9.90192e-05,9.90192e-05,9.90192e-05
86,5641.22,0.5273,0.60617,1.05288,0.91414,0.89809,0.94591,0.81592,0.56848,0.43355,1.0126,9.3198e-05,9.3198e-05,9.3198e-05
87,5705.1,0.52575,0.60102,1.05474,0.91276,0.90455,0.94457,0.81488,0.56574,0.43419,1.00575,8.73768e-05,8.73768e-05,8.73768e-05
88,5764,0.52641,0.60602,1.05863,0.92548,0.88742,0.94538,0.81704,0.56761,0.43573,1.00565,8.15556e-05,8.15556e-05,8.15556e-05
89,5832.51,0.52419,0.60878,1.05158,0.92608,0.88862,0.94794,0.81926,0.56635,0.42416,1.00529,7.57344e-05,7.57344e-05,7.57344e-05
90,5896.43,0.51418,0.59303,1.04882,0.91756,0.89209,0.94735,0.81922,0.56144,0.42675,1.00117,6.99132e-05,6.99132e-05,6.99132e-05
91,5967.22,0.33149,0.2394,0.98139,0.91538,0.89734,0.94246,0.81092,0.5668,0.43703,1.00318,6.4092e-05,6.4092e-05,6.4092e-05
92,6027.03,0.32095,0.22189,0.97897,0.91675,0.89375,0.94301,0.81117,0.56738,0.4435,1.00759,5.82708e-05,5.82708e-05,5.82708e-05
93,6090.79,0.31528,0.21364,0.9713,0.9186,0.8967,0.94632,0.81427,0.5696,0.43812,1.01658,5.24496e-05,5.24496e-05,5.24496e-05
94,6149.81,0.31397,0.20825,0.96612,0.92575,0.89316,0.94732,0.8142,0.56818,0.42888,1.01587,4.66284e-05,4.66284e-05,4.66284e-05
95,6213.87,0.3112,0.20667,0.96606,0.92443,0.89787,0.94647,0.81609,0.56541,0.42848,1.011,4.08072e-05,4.08072e-05,4.08072e-05
96,6277.69,0.30638,0.20336,0.96697,0.90098,0.91425,0.94509,0.81193,0.5745,0.43305,1.02075,3.4986e-05,3.4986e-05,3.4986e-05
97,6345.09,0.29964,0.19754,0.96113,0.91893,0.8964,0.94545,0.8117,0.57861,0.43049,1.02696,2.91648e-05,2.91648e-05,2.91648e-05
98,6405.5,0.29879,0.1948,0.96068,0.92152,0.89155,0.94581,0.81451,0.57525,0.43339,1.02603,2.33436e-05,2.33436e-05,2.33436e-05
99,6473.5,0.29461,0.18602,0.96027,0.91507,0.89922,0.94631,0.81569,0.57406,0.42852,1.02595,1.75224e-05,1.75224e-05,1.75224e-05
100,6537.47,0.29067,0.18883,0.95456,0.92584,0.89029,0.94634,0.81665,0.57607,0.4348,1.02937,1.17012e-05,1.17012e-05,1.17012e-05
